00001 A00     0 Cholera                                                      Cholera
08915 H353222 1 Exdtve age-rel mclr degn, left eye, with inact chrdl neovas  Exudative age-related macular degeneration, left eye, with inactive choroidal neovascularization
08916 H353223 1 Exudative age-rel mclr degn, left eye, with inactive scar    Exudative age-related macular degeneration, left eye, with inactive scar
08917 H35323  0 Exudative age-related macular degeneration, bilateral        Exudative age-related macular degeneration, bilateral
08918 H353230 1 Exudative age-rel mclr degn, bilateral, stage unspecified    Exudative age-related macular degeneration, bilateral, stage unspecified
08919 H353231 1 Exudative age-rel mclr degn, bi, with actv chrdl neovas      Exudative age-related macular degeneration, bilateral, with active choroidal neovascularization
08920 H353232 1 Exudative age-rel mclr degn, bi, with inact chrdl neovas     Exudative age-related macular degeneration, bilateral, with inactive choroidal neovascularization
08921 H353233 1 Exudative age-rel mclr degn, bilateral, with inactive scar   Exudative age-related macular degeneration, bilateral, with inactive scar
08922 H35329  0 Exudative age-related macular degeneration, unspecified eye  Exudative age-related macular degeneration, unspecified eye
08923 H353290 1 Exudative age-related mclr degn, unsp, stage unspecified     Exudative age-related macular degeneration, unspecified eye, stage unspecified
08924 H353291 1 Exudative age-rel mclr degn, unsp, with actv chrdl neovas    Exudative age-related macular degeneration, unspecified eye, with active choroidal neovascularization
08925 H353292 1 Exudative age-rel mclr degn, unsp, with inact chrdl neovas   Exudative age-related macular degeneration, unspecified eye, with inactive choroidal neovascularization
08926 H353293 1 Exudative age-related mclr degn, unsp, with inactive scar    Exudative age-related macular degeneration, unspecified eye, with inactive scar
08927 H3533   1 Angioid streaks of macula                                    Angioid streaks of macula
08928 H3534   0 Macular cyst, hole, or pseudohole                            Macular cyst, hole, or pseudohole
08929 H35341  1 Macular cyst, hole, or pseudohole, right eye                 Macular cyst, hole, or pseudohole, right eye
08930 H35342  1 Macular cyst, hole, or pseudohole, left eye                  Macular cyst, hole, or pseudohole, left eye
08931 H35343  1 Macular cyst, hole, or pseudohole, bilateral                 Macular cyst, hole, or pseudohole, bilateral
08932 H35349  1 Macular cyst, hole, or pseudohole, unspecified eye           Macular cyst, hole, or pseudohole, unspecified eye
08933 H3535   0 Cystoid macular degeneration                                 Cystoid macular degeneration
08934 H35351  1 Cystoid macular degeneration, right eye                      Cystoid macular degeneration, right eye
08935 H35352  1 Cystoid macular degeneration, left eye                       Cystoid macular degeneration, left eye
08936 H35353  1 Cystoid macular degeneration, bilateral                      Cystoid macular degeneration, bilateral
08937 H35359  1 Cystoid macular degeneration, unspecified eye                Cystoid macular degeneration, unspecified eye
08938 H3536   0 Drusen (degenerative) of macula                              Drusen (degenerative) of macula
08939 H35361  1 Drusen (degenerative) of macula, right eye                   Drusen (degenerative) of macula, right eye
08940 H35362  1 Drusen (degenerative) of macula, left eye                    Drusen (degenerative) of macula, left eye
08941 H35363  1 Drusen (degenerative) of macula, bilateral                   Drusen (degenerative) of macula, bilateral
08942 H35369  1 Drusen (degenerative) of macula, unspecified eye             Drusen (degenerative) of macula, unspecified eye
08943 H3537   0 Puckering of macula                                          Puckering of macula
08944 H35371  1 Puckering of macula, right eye                               Puckering of macula, right eye
08945 H35372  1 Puckering of macula, left eye                                Puckering of macula, left eye
08946 H35373  1 Puckering of macula, bilateral                               Puckering of macula, bilateral
08947 H35379  1 Puckering of macula, unspecified eye                         Puckering of macula, unspecified eye
08948 H3538   0 Toxic maculopathy                                            Toxic maculopathy
08949 H35381  1 Toxic maculopathy, right eye                                 Toxic maculopathy, right eye
08950 H35382  1 Toxic maculopathy, left eye                                  Toxic maculopathy, left eye
08951 H35383  1 Toxic maculopathy, bilateral                                 Toxic maculopathy, bilateral
08952 H35389  1 Toxic maculopathy, unspecified eye                           Toxic maculopathy, unspecified eye
08953 H354    0 Peripheral retinal degeneration                              Peripheral retinal degeneration
08954 H3540   1 Unspecified peripheral retinal degeneration                  Unspecified peripheral retinal degeneration
08955 H3541   0 Lattice degeneration of retina                               Lattice degeneration of retina
08956 H35411  1 Lattice degeneration of retina, right eye                    Lattice degeneration of retina, right eye
08957 H35412  1 Lattice degeneration of retina, left eye                     Lattice degeneration of retina, left eye
08958 H35413  1 Lattice degeneration of retina, bilateral                    Lattice degeneration of retina, bilateral
08959 H35419  1 Lattice degeneration of retina, unspecified eye              Lattice degeneration of retina, unspecified eye
08960 H3542   0 Microcystoid degeneration of retina                          Microcystoid degeneration of retina
08961 H35421  1 Microcystoid degeneration of retina, right eye               Microcystoid degeneration of retina, right eye
08962 H35422  1 Microcystoid degeneration of retina, left eye                Microcystoid degeneration of retina, left eye
08963 H35423  1 Microcystoid degeneration of retina, bilateral               Microcystoid degeneration of retina, bilateral
08964 H35429  1 Microcystoid degeneration of retina, unspecified eye         Microcystoid degeneration of retina, unspecified eye
08965 H3543   0 Paving stone degeneration of retina                          Paving stone degeneration of retina
08966 H35431  1 Paving stone degeneration of retina, right eye               Paving stone degeneration of retina, right eye
08967 H35432  1 Paving stone degeneration of retina, left eye                Paving stone degeneration of retina, left eye
08968 H35433  1 Paving stone degeneration of retina, bilateral               Paving stone degeneration of retina, bilateral
08969 H35439  1 Paving stone degeneration of retina, unspecified eye         Paving stone degeneration of retina, unspecified eye
08970 H3544   0 Age-related reticular degeneration of retina                 Age-related reticular degeneration of retina
08971 H35441  1 Age-related reticular degeneration of retina, right eye      Age-related reticular degeneration of retina, right eye
08972 H35442  1 Age-related reticular degeneration of retina, left eye       Age-related reticular degeneration of retina, left eye
08973 H35443  1 Age-related reticular degeneration of retina, bilateral      Age-related reticular degeneration of retina, bilateral
08974 H35449  1 Age-related reticular degeneration of retina, unsp eye       Age-related reticular degeneration of retina, unspecified eye
08975 H3545   0 Secondary pigmentary degeneration                            Secondary pigmentary degeneration
08976 H35451  1 Secondary pigmentary degeneration, right eye                 Secondary pigmentary degeneration, right eye
08977 H35452  1 Secondary pigmentary degeneration, left eye                  Secondary pigmentary degeneration, left eye
08978 H35453  1 Secondary pigmentary degeneration, bilateral                 Secondary pigmentary degeneration, bilateral
08979 H35459  1 Secondary pigmentary degeneration, unspecified eye           Secondary pigmentary degeneration, unspecified eye
